epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.6702068369763894,0.5922989807474519,0.6450393863364581,0.5477031802120141,0.9999999975,0.030303030300734616,0.058823528832179936,0.0003
2,0.6362417652139847,0.5900339750849377,0.6223566920723594,0.5724381625441696,0.999999999090909,0.0833333333270202,0.15384615240451857,0.0003
3,0.5887224334012612,0.6409966024915063,0.5743832985209071,0.696113074204947,0.9999999997826087,0.34848484845844807,0.5168539286933468,0.0003
4,0.549470169155406,0.7157417893544734,0.5320834674388697,0.7985865724381626,0.9032258063544919,0.6363636363154269,0.7466666617505187,0.0003
5,0.4981825799256192,0.8233295583238958,0.48330829579501605,0.8021201413427562,0.9318181817122935,0.6212121211650596,0.745454540586777,0.0003
6,0.49136764263377725,0.7859569648924122,0.45776417567114946,0.8162544169611308,0.9761904760742631,0.6212121211650596,0.7592592544358711,0.0003
7,0.4261234380043242,0.8267270668176671,0.42491465469973666,0.8056537102473498,0.8532110090960358,0.7045454544920798,0.7717842273466368,0.0003
8,0.4081186230968376,0.8414496036240091,0.40477348706115684,0.8056537102473498,0.7938931297103898,0.7878787878191,0.7908745196547586,0.0003
9,0.380534395592399,0.8527746319365799,0.35779783782605146,0.8480565371024735,0.9320388348609672,0.7272727272176308,0.817021271602354,0.0003
10,0.3458716993896229,0.8527746319365799,0.32272276432375185,0.8515901060070671,0.9687499998990886,0.7045454544920798,0.8157894687373037,0.0003
11,0.3617551177908853,0.8595696489241224,0.4987373026647332,0.8021201413427562,0.711111111071605,0.9696969696235077,0.8205128155785667,0.0003
12,0.340200756711301,0.8652321630804077,0.3155106657806639,0.8798586572438163,0.8550724637061541,0.8939393938716712,0.874074069011797,0.0003
13,0.31010972224977523,0.8810872027180068,0.2835950634899704,0.8657243816254417,0.9895833332302518,0.7196969696424471,0.8333333283848876,0.0003
14,0.29273827905563105,0.8742921857304643,0.3165276024240487,0.8692579505300353,0.8518518517887517,0.8712121211461202,0.8614232159098879,0.0003
15,0.31763295297714483,0.8754246885617214,0.2638657048423593,0.8869257950530035,0.980769230674926,0.7727272726687328,0.8644067746581442,0.0003
16,0.31180232731226754,0.8867497168742922,0.30201358516624877,0.8515901060070671,0.999999999888889,0.6818181817665289,0.8108108059167276,0.0003
17,0.33835229890195323,0.8776896942242356,0.2707364233638499,0.8798586572438163,0.9711538460604661,0.7651515150935491,0.855932198387676,0.0003
18,0.27803676402447314,0.8980747451868629,0.2879160633606856,0.8515901060070671,0.999999999888889,0.6818181817665289,0.8108108059167276,0.0003
19,0.28770400953319847,0.8878822197055493,0.24179171824781717,0.8833922261484098,0.9999999998989899,0.7499999999431818,0.8571428521706866,0.0003
20,0.2708149556732934,0.9014722536806342,0.24492018472390123,0.8798586572438163,0.9999999998979593,0.7424242423679981,0.852173908078639,0.0003
21,0.2754802827893135,0.8878822197055493,0.2949432334451288,0.8798586572438163,0.8181818181286894,0.9545454544731404,0.8811188760868502,0.0003
22,0.2562687457924116,0.9048697621744054,0.22320127093591877,0.9151943462897526,0.957627118562913,0.856060605995753,0.9039999949433601,0.0003
23,0.24327335065380498,0.9026047565118913,0.20560642560884726,0.9151943462897526,0.9999999999074075,0.8181818181198347,0.899999994975,0.0003
24,0.25131030740176297,0.9082672706681767,0.24051704997519302,0.8939929328621908,0.9180327868099973,0.8484848484205693,0.8818897587178374,0.0003
25,0.2976446247249335,0.8810872027180068,0.20045502402230622,0.9434628975265018,0.9142857142204082,0.9696969696235077,0.9411764655233564,0.0003
26,0.23811405664257124,0.9037372593431483,0.19389690202084953,0.9328621908127208,0.9519999999238401,0.9015151514468549,0.9260700338421476,0.0003
27,0.22365235232685862,0.9116647791619479,0.18056375607058353,0.9399293286219081,0.9831932772283032,0.8863636362964875,0.9322709112737894,0.0003
28,0.21984995312625932,0.9105322763306908,0.17305859446183322,0.9469964664310954,0.96799999992256,0.9166666665972222,0.9416342361755666,0.0003
29,0.32689634301316833,0.8765571913929785,0.17595275054445536,0.9469964664310954,0.9465648854239262,0.9393939393227732,0.9429657743960445,0.0003
30,0.2707941202385644,0.8958097395243488,0.18161952597592618,0.9257950530035336,0.9663865545406398,0.8712121211461202,0.9163346562949795,0.0003
31,0.22016311147474893,0.9093997734994338,0.21682245160581368,0.9045936395759717,0.8431372548468538,0.9772727271986914,0.9052631528583565,0.0003
32,0.213745208535162,0.9184597961494904,0.17282136617221808,0.9257950530035336,0.9911504423901637,0.8484848484205693,0.9142857092411496,0.0003
33,0.2310069150049851,0.9093997734994338,0.16201805541548522,0.9434628975265018,0.9999999999137932,0.8787878787213039,0.9354838659131114,0.0003
34,0.2114877129903871,0.9173272933182333,0.18483900263010403,0.9293286219081273,0.8999999999357142,0.9545454544731404,0.9264705831714966,0.0003
35,0.20728648225286403,0.9173272933182333,0.16239437869299111,0.9293286219081273,0.9999999999107143,0.8484848484205693,0.9180327818435906,0.0003
36,0.28614771855511995,0.8788221970554927,0.2561526112653341,0.8657243816254417,0.7831325300733052,0.9848484847738751,0.8724832164830414,0.0003
37,0.2314199734213398,0.9173272933182333,0.15224709969290365,0.950530035335689,0.9682539681771227,0.9242424241724059,0.9457364290379184,0.0003
38,0.1784326352119986,0.9320498301245753,0.13379587914939484,0.9611307420494699,0.9999999999173554,0.9166666665972222,0.9565217340642723,0.0003
39,0.1964763020875095,0.9297848244620611,0.15283217631912274,0.9540636042402827,0.968503936931614,0.9318181817475895,0.9498069447354691,0.0003
40,0.20449912107611837,0.9195922989807475,0.14269931048365447,0.9575971731448764,0.9411764705190311,0.9696969696235077,0.9552238755268433,0.0003
